phrase	MB_age-30_sex-M	MD_age-21_sex-F	MS2_age-36_sex-other	MM_age-58_sex-F	CS_age-NA_sex-NA	AJ_age-21_sex-F	AC_age-25_sex-F	AL_age-20_sex-F	FG_age-22_sex-F	FZ_age-25_sex-M	VF_age-21_sex-F	EP_age-20_sex-F	BC_age-24_sex-other	AG_age-21_sex-F	HT_age-21_sex-F	AS_age-23_sex-F	KC_age-20_sex-F	AZ_age-24_sex-M	AA_age-19_sex-F	VB_age-20_sex-F	IN2_age-NA_sex-NA	LZ_age-21_sex-F	FB2_age-19_sex-F	FC_age-20_sex-F	SB_age-21_sex-F	DZ_age-21_sex-F	SM_age-23_sex-F	MS_age-21_sex-F	DT_age-48_sex-F	FB_age-37_sex-F	SV_age-20_sex-F	NB_age-19_sex-F	MG_age-24_sex-M	GD_age-24_sex-F	
organizzare la cena	5.0	4.0	4.0	4.0	5.0	5.0	5.0	2.0	5.0	5.0	4.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	
annullare l'aperitivo	5.0	3.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0	3.0	3.0	5.0	5.0	2.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	2.0	5.0	5.0	
annullare la cena	5.0	3.0	4.0	2.0	4.0	5.0	5.0	3.0	5.0	5.0	3.0	3.0	4.0	3.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	2.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	
prenotare la cena	5.0	4.0	3.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	3.0	5.0	3.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	1.0	5.0	5.0	
prenotare il pranzo	5.0	3.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	2.0	5.0	5.0	
organizzare l'aperitivo	5.0	4.0	3.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	3.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	1.0	5.0	5.0	5.0	2.0	4.0	5.0	5.0	3.0	3.0	1.0	5.0	5.0	
annullare la decisione	5.0	2.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	2.0	4.0	5.0	3.0	5.0	1.0	5.0	5.0	3.0	3.0	5.0	2.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	
organizzare il corso	5.0	2.0	5.0	3.0	2.0	5.0	5.0	4.0	5.0	5.0	2.0	3.0	5.0	2.0	5.0	1.0	5.0	1.0	4.0	4.0	5.0	4.0	5.0	3.0	5.0	4.0	2.0	5.0	5.0	3.0	3.0	1.0	5.0	5.0	
annullare l'iscrizione	5.0	2.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	5.0	3.0	5.0	1.0	5.0	3.0	4.0	4.0	5.0	3.0	5.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	
organizzare la giornata	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	
prenotare il posto	5.0	4.0	3.0	4.0	5.0	5.0	5.0	2.0	5.0	5.0	2.0	3.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0	
prenotare il concerto	5.0	nan	5.0	3.0	3.0	5.0	5.0	3.0	5.0	nan	3.0	5.0	5.0	5.0	5.0	5.0	5.0	nan	nan	5.0	5.0	3.0	4.0	5.0	5.0	3.0	3.0	nan	5.0	nan	5.0	nan	nan	nan	
preparare l'incontro	5.0	4.0	5.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	2.0	5.0	2.0	5.0	5.0	5.0	3.0	5.0	4.0	2.0	5.0	5.0	3.0	3.0	5.0	5.0	5.0	2.0	3.0	5.0	5.0	
pagare la festa	5.0	4.0	3.0	2.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	3.0	5.0	2.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	3.0	1.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	2.0	5.0	5.0	
preparare il viaggio	5.0	4.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	3.0	5.0	5.0	
pagare il viaggio	5.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	1.0	5.0	5.0	
pagare la gita	5.0	4.0	4.0	3.0	5.0	5.0	5.0	2.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	3.0	3.0	5.0	5.0	4.0	3.0	5.0	5.0	5.0	4.0	2.0	5.0	5.0	
preparare la festa	5.0	4.0	4.0	4.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	3.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	3.0	5.0	5.0	
confezionare la cena	5.0	3.0	1.0	2.0	3.0	2.0	5.0	4.0	5.0	4.0	2.0	4.0	3.0	2.0	4.0	1.0	4.0	3.0	2.0	5.0	5.0	2.0	1.0	1.0	5.0	1.0	3.0	5.0	5.0	2.0	5.0	3.0	5.0	5.0	
cucinare la cena	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	5.0	
cucinare il pranzo	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	2.0	5.0	5.0	
portare l'aperitivo	5.0	4.0	4.0	2.0	5.0	4.0	5.0	2.0	5.0	4.0	3.0	5.0	5.0	3.0	5.0	1.0	5.0	2.0	5.0	4.0	4.0	2.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	2.0	3.0	2.0	5.0	5.0	
portare la cena	5.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0	4.0	5.0	2.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	
portare il pranzo	5.0	4.0	3.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	2.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	1.0	5.0	5.0	
cucinare il piatto	5.0	4.0	4.0	5.0	5.0	3.0	5.0	3.0	5.0	5.0	4.0	5.0	1.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	5.0	5.0	3.0	5.0	4.0	1.0	5.0	5.0	
