	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	3	5	4
1	avere il tavolo	4	3	5
2	cambiare la scrivania	3	4	4
3	comprare la scrivania	4	4	4
4	avere la sedia	4	4	5
5	dare la sedia	3	4	2
6	cambiare la sedia	4	4	4
7	cambiare il tavolo	4	4	3
8	dare il divano	2	4	2
9	comprare il divano	3	5	3
10	avere la scrivania	5	3	5
11	comprare l'armadio	3	4	5
12	dare la scrivania	3	4	4
13	dare l'armadio	3	3	3
14	cambiare l'armadio	4	5	4
15	comprare la sedia	4	3	5
16	avere il divano	5	4	5
17	dare il tavolo	2	4	5
18	cambiare il divano	2	5	4
19	avere l'armadio	5	5	4
