	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'acqua	2	5	3
1	aprire la scatola	4	5	4
2	raccogliere la frutta	2	5	3
3	raccogliere il grano	2	5	3
4	aprire il cassetto	4	5	5
5	regalare l'anello	2	5	4
6	regalare il biglietto	4	5	4
7	regalare la bottiglia	4	5	4
8	raccogliere il fiore	3	5	5
9	aprire la bottega	2	3	3
10	aprire il pacco	3	4	4
11	raccogliere la legna	3	5	3
12	regalare il fiore	2	4	4
13	aprire la busta	3	5	4
14	aprire il frigo	5	5	5
15	regalare la gioiello	3	5	5
16	aprire il portone	5	5	5
17	aprire la porta	5	5	5
18	regalare la foto	5	4	5
19	aprire il coperchio	5	5	5
20	regalare la collana	3	4	5
21	aprire la finestra	5	5	5
22	raccogliere l'erba	3	4	3
23	raccogliere la moneta	3	4	4
24	raccogliere la palla	4	4	5
25	aprire il portello	5	5	5
