	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	3	4
1	presentare la domanda	5	4	4
2	spiegare il motivo	5	4	5
3	consultare la sezione	3	3	3
4	consultare l'elenco	4	3	4
5	presentare l'istanza	5	4	5
6	presentare il progetto	5	5	5
7	spiegare la parola	5	4	5
8	spiegare la situazione	5	4	5
9	consultare l'appendice	5	5	5
10	presentare la denuncia	5	5	5
11	presentare il programma	5	5	5
12	consultare l'esperto	5	5	5
13	presentare il problema	5	5	5
14	spiegare la ragione	5	3	5
15	consultare la tabella	5	5	5
16	spiegare il significato	5	4	5
17	spiegare il concetto	5	4	5
