	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'aqua	1	5	5
1	aprire la scatola	2	4	4
2	raccogliere la frutta	2	3	4
3	raccogliere il grano	2	2	5
4	aprire il cassetto	4	4	5
5	regalare l'anello	2	2	4
6	regalare il biglietto	5	2	4
7	regalare la bottiglia	4	2	5
8	raccogliere il fiore	2	4	4
9	aprire la bottega	4	5	4
10	aprire il pacco	5	4	5
11	raccogliere la legna	1	2	3
12	regalare il fiore	1	2	3
13	aprire la busta	4	3	4
14	aprire il frigo	5	5	5
15	regalare la gioiello	2	1	4
16	aprire il portone	4	4	5
17	aprire la porta	5	4	3
18	regalare la foto	1	2	3
19	aprire il coperchio	5	3	4
20	regalare la collana	2	2	3
21	aprire la finestra	2	5	4
22	raccogliere l'erba	1	2	3
23	raccogliere la moneta	3	5	5
24	raccogliere la palla	3	3	3
25	aprire il portello	3	2	3
