	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	avere la storia	3.0	1.0	4.0
1	cambiare la storia	3.0	1.0	4.0
2	avere il giudizio	5.0	2.0	5.0
3	combiare il giudizio	4.0	2.0	4.0
4	avere la notizia	3.0	1.0	4.0
5	dare la storia	2.0	1.0	1.0
6	comprare la storia	1.0	1.0	1.0
7	combiare l'opinione	4.0	2.0	5.0
8	dare il giudizio	1.0	1.0	1.0
9	avere l'idea	5.0	1.0	5.0
10	dare l'opinione	2.0	2.0	1.0
11	avere l'opinione	4.0	1.0	5.0
12	dare l'idea	1.0	1.0	1.0
13	combiare l'idea	4.0	1.0	5.0
14				
15	Sesso M età 24			
