	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	3	2	4
1	presentare la domanda	2	3	3
2	spiegare il motivo	4	3	4
3	consultare la sezione	3	3	4
4	consultare l'elenco	3	3	3
5	presentare l'istanza	1	3	2
6	presentare il progetto	1	3	4
7	spiegare la parola	4	3	4
8	spiegare la situazione	4	3	4
9	consultare l'appendice	3	4	4
10	presentare la denuncia	2	3	5
11	presentare il programma	1	3	4
12	consultare l'esperto	3	3	4
13	presentare il problema	2	2	5
14	spiegare la ragione	3	3	4
15	consultare la tabella	3	3	4
16	spiegare il significato	4	3	5
17	spiegare il concetto	4	2	5
