	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	5	5	1
1	portare l'abito	5	5	4
2	avere la gomma	5	5	4
3	portare il libro	5	5	4
4	annullare l'intervento	4	5	3
5	preparare il concerto	3	5	4
6	dare il righello	4	5	3
7	confezionare il cibo	4	5	4
8	preparare la mostra	2	4	5
9	annullare il corso	4	5	4
10	portare il pacchtto	4	5	3
11	pagare il concerto	4	5	3
12	portare il fiore	3	4	5
13	portare il piatto	5	5	1
14	confezionare il piatto	5	4	5
15	confezionare la verdura	4	4	5
16	dare la matita	5	5	2
17	annullare il servizio	5	4	2
18	portare la verdura	5	5	4
19	avere la penna	5	5	4
20	prenotare la mostra	3	5	5
21	annullare la spedizione	4	4	4
22	avere la matita	5	5	5
23	portare la camicia	5	5	5
24	confezionare il fiore	5	5	5
25	prenotare il servizio	5	5	5
26	cambiare la penna	5	5	5
27	prenotare l'iscrizione	5	5	5
28	prenotare la spedizione	5	5	5
29	avere il righello	5	5	5
30	prenotare l'incontro	5	5	4
31	dare la gomma	5	5	5
32	annullare l'incontro	5	5	5
33	prenotare l'intervento	5	5	5
34	portare il legno	4	5	4
35	prenotare il concerto	5	5	5
36	annullare l'appuntamento	5	5	5
37	confezionare il libro	5	5	4
38	annullare l'iscrizione	5	5	5
39	annullare la mostra	4	5	4
40	confezionare il carne	5	5	4
41	portare il carne	4	4	4
42	organizzare il concerto	3	5	4
43	prenotare l'appuntamento	5	5	5
44	portare il cibo	5	5	5
45	pagare la mostra	5	5	5
46	annullare il concerto	5	5	5
47	organizzare la mostra	4	5	4
48	cambiare la matita	4	5	5
49	dare la penna	5	5	5
50	prenotare il corso	5	5	5
