	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	3	5	4
1	avere il tavolo	5	2	1
2	cambiare la scrivania	4	4	2
3	comprare la scrivania	3	5	2
4	avere la sedia	4	2	5
5	dare la sedia	4	3	3
6	cambiare la sedia	3	3	2
7	cambiare il tavolo	4	3	2
8	dare il divano	2	2	4
9	comprare il divano	3	4	2
10	avere la scrivania	5	3	2
11	comprare l'armadio	3	5	4
12	dare la scrivania	2	3	4
13	dare l'armadio	2	3	4
14	cambiare l'armadio	3	4	3
15	comprare la sedia	4	5	3
16	avere il divano	5	2	5
17	dare il tavolo	3	3	3
18	cambiare il divano	3	4	2
19	avere l'armadio	5	2	5
