	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	4	5	4
1	presentare la domanda	4	4	4
2	spiegare il motivo	4	3	3
3	consultare la sezione	4	5	4
4	consultare l'elenco	4	5	4
5	presentare l'istanza	3	4	3
6	presentare il progetto	3	4	4
7	spiegare la parola	4	3	2
8	spiegare la situazione	3	3	2
9	consultare l'appendice	4	5	4
10	presentare la denuncia	3	4	3
11	presentare il programma	3	4	3
12	consultare l'esperto	3	3	4
13	presentare il problema	4	5	3
14	spiegare la ragione	4	4	2
15	consultare la tabella	3	5	4
16	spiegare il significato	4	3	2
17	spiegare il concetto	4	3	2
