	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	5	5	5
1	sfogliare il catalogo	5	5	5
2	presentare il libro	3	1	4
3	regalare il diario	3	5	5
4	sfogliare il libro	5	5	5
5	aprire la rivista	5	5	5
6	consultare la rivista	2	5	5
7	regalare il catalogo	3	4	1
8	regalare il libro	5	3	5
9	comprare il libro	5	5	5
10	raccogliere il catalogo	3	3	4
11	comprare il disegno	2	1	1
12	raccogliere il disegno	2	3	5
13	comprare il catalogo	2	1	1
14	raccogliere il libro	4	5	5
15	regalare la rivista	4	5	4
16	raccogliere la rivista	4	5	4
17	consultare il catalogo	5	5	4
18	presentare il catalogo	3	3	2
19	presentare il disegno	2	2	2
20	consultare il libro	5	5	4
21	aprire il catalogo	5	5	5
22	chiudere il catalogo	5	5	5
23	spiegare il disegno	4	5	1
24	presentare il diario	3	3	1
25	chiudere la rivista	5	5	5
26	spiegare il libro	2	1	1
27	regalare il disegno	2	4	3
28	comprare il diario	5	2	5
29	sfogliare il diario	5	4	5
30	aprire il diario	5	4	5
31	chiudere il diario	5	4	5
32	sfogliare la rivista	5	4	5
33	raccogliere il diario	3	3	5
34	presentare la rivista	2	1	1
35	comprare la rivista	5	5	5
36	aprire il libro	5	4	5
