	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'aqua	4	3	5
1	aprire la scatola	4	5	5
2	raccogliere la frutta	5	3	5
3	raccogliere il grano	5	3	5
4	aprire il cassetto	5	5	5
5	regalare l'anello	5	3	3
6	regalare il biglietto	5	3	3
7	regalare la bottiglia	5	3	3
8	raccogliere il fiore	4	3	5
9	aprire la bottega	3	5	5
10	aprire il pacco	4	5	5
11	raccogliere la legna	3	3	5
12	regalare il fiore	4	3	3
13	aprire la busta	5	5	5
14	aprire il frigo	5	5	5
15	regalare la gioiello	5	3	3
16	aprire il portone	5	5	5
17	aprire la porta	5	5	5
18	regalare la foto	3	3	3
19	aprire il coperchio	3	5	5
20	regalare la collana	4	3	3
21	aprire la finestra	5	5	5
22	raccogliere l'erba	2	3	4
23	raccogliere la moneta	2	3	1
24	raccogliere la palla	1	3	5
25	aprire il portello	1	5	5
