	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'acqua	1	1	
1	aprire la scatola	5	5	
2	raccogliere la frutta	5	5	
3	raccogliere il grano	2	4	
4	aprire il cassetto	5	5	
5	regalare l'anello	2	5	
6	regalare il biglietto	1	5	
7	regalare la bottiglia	3	5	
8	raccogliere il fiore	2	5	
9	aprire la bottega	1	5	
10	aprire il pacco	3	5	
11	raccogliere la legna	1	5	
12	regalare il fiore	1	5	
13	aprire la busta	4	5	
14	aprire il frigo	5	5	
15	regalare la gioiello	1	4	
16	aprire il portone	4	4	
17	aprire la porta	5	5	
18	regalare la foto	1	4	
19	aprire il coperchio	3	5	
20	regalare la collana	1	4	
21	aprire la finestra	5	5	
22	raccogliere l'erba	1	4	
23	raccogliere la moneta	2	2	
24	raccogliere la palla	5	5	
25	aprire il portello	1	1	
