	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	1	5	5
1	avere il tavolo	5	1	5
2	cambiare la scrivania	2	2	3
3	comprare la scrivania	3	4	4
4	avere la sedia	1	1	1
5	dare la sedia	1	1	1
6	cambiare la sedia	2	2	3
7	cambiare il tavolo	2	2	3
8	dare il divano	1	1	1
9	comprare il divano	3	4	4
10	avere la scrivania	3	1	4
11	comprare l'armadio	3	5	5
12	dare la scrivania	1	1	1
13	dare l'armadio	1	1	1
14	cambiare l'armadio	3	4	4
15	comprare la sedia	3	5	5
16	avere il divano	4	1	4
17	dare il tavolo	1	1	1
18	cambiare il divano	3	4	4
19	avere l'armadio	1	1	1
