	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	5	5	5
1	sfogliare il catalogo	3	4	4
2	presentare il libro	3	3	3
3	regalare il diario	2	4	5
4	sfogliare il libro	5	5	5
5	aprire la rivista	3	5	5
6	consultare la rivista	3	4	5
7	regalare il catalogo	2	4	5
8	regalare il libro	4	4	5
9	comprare il libro	5	5	5
10	raccogliere il catalogo	2	4	4
11	comprare il disegno	1	4	3
12	raccogliere il disegno	1	3	2
13	comprare il catalogo	2	3	4
14	raccogliere il libro	4	4	5
15	regalare la rivista	2	3	3
16	raccogliere la rivista	2	3	4
17	consultare il catalogo	3	4	4
18	presentare il catalogo	3	3	3
19	presentare il disegno	2	3	3
20	consultare il libro	5	5	5
21	aprire il catalogo	3	4	5
22	chiudere il catalogo	3	4	5
23	spiegare il disegno	3	3	4
24	presentare il diario	3	3	4
25	chiudere la rivista	3	4	5
26	spiegare il libro	5	4	5
27	regalare il disegno	4	4	5
28	comprare il diario	4	4	5
29	sfogliare il diario	4	5	5
30	aprire il diario	4	5	5
31	chiudere il diario	4	5	5
32	sfogliare la rivista	3	4	4
33	raccogliere il diario	3	4	4
34	presentare la rivista	3	4	3
35	comprare la rivista	3	4	5
36	aprire il libro	5	5	5
