	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	4	5	5
1	presentare la domanda	5	5	5
2	spiegare il motivo	5	5	5
3	consultare la sezione	5	5	5
4	consultare l'elenco	4	5	5
5	presentare l'istanza	4	5	5
6	presentare il progetto	3	5	5
7	spiegare la parola	5	5	5
8	spiegare la situazione	4	5	4
9	consultare l'appendice	5	5	5
10	presentare la denuncia	3	3	3
11	presentare il programma	4	5	5
12	consultare l'esperto	5	5	4
13	presentare il problema	4	4	4
14	spiegare la ragione	4	4	4
15	consultare la tabella	5	5	5
16	spiegare il significato	5	5	4
17	spiegare il concetto	5	5	4
