	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'acqua	2	5	3
1	aprire la scatola	5	5	5
2	raccogliere la frutta	2	5	2
3	raccogliere il grano	2	5	2
4	aprire il cassetto	5	5	5
5	regalare l'anello	2	5	4
6	regalare il biglietto	5	5	5
7	regalare la bottiglia	5	5	5
8	raccogliere il fiore	4	5	4
9	aprire la bottega	1	5	2
10	aprire il pacco	5	5	5
11	raccogliere la legna	2	5	2
12	regalare il fiore	3	5	4
13	aprire la busta	5	5	5
14	aprire il frigo	5	5	5
15	regalare la gioiello	3	5	4
16	aprire il portone	5	5	5
17	aprire la porta	5	5	5
18	regalare la foto	4	5	5
19	aprire il coperchio	5	5	5
20	regalare la collana	2	5	4
21	aprire la finestra	5	5	5
22	raccogliere l'erba	3	5	3
23	raccogliere la moneta	3	5	3
24	raccogliere la palla	5	5	5
25	aprire il portello	5	5	4
