	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'aqua	2	2	4
1	aprire la scatola	5	4	5
2	raccogliere la frutta	2	4	4
3	raccogliere il grano	1	4	4
4	aprire il cassetto	5	4	5
5	regalare l'anello	2	4	3
6	regalare il biglietto	3	4	3
7	regalare la bottiglia	3	4	4
8	raccogliere il fiore	2	4	5
9	aprire la bottega	2	3	3
10	aprire il pacco	3	4	4
11	raccogliere la legna	2	4	5
12	regalare il fiore	2	4	5
13	aprire la busta	4	4	4
14	aprire il frigo	5	4	5
15	regalare la gioiello	3	4	4
16	aprire il portone	4	4	5
17	aprire la porta	5	4	5
18	regalare la foto	4	4	5
19	aprire il coperchio	5	4	4
20	regalare la collana	3	4	4
21	aprire la finestra	5	4	5
22	raccogliere l'erba	3	4	4
23	raccogliere la moneta	3	4	5
24	raccogliere la palla	4	4	5
25	aprire il portello	4	4	4
