	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	5	5	5
1	sfogliare il catalogo	5	5	4
2	presentare il libro	5	3	2
3	regalare il diario	5	3	5
4	sfogliare il libro	5	5	4
5	aprire la rivista	5	5	5
6	consultare la rivista	5	2	2
7	regalare il catalogo	5	3	4
8	regalare il libro	5	3	4
9	comprare il libro	5	5	5
10	raccogliere il catalogo	5	4	3
11	comprare il disegno	5	3	5
12	raccogliere il disegno	5	4	3
13	comprare il catalogo	5	4	5
14	raccogliere il libro	5	4	4
15	regalare la rivista	5	2	5
16	raccogliere la rivista	5	4	4
17	consultare il catalogo	5	3	2
18	presentare il catalogo	5	3	2
19	presentare il disegno	5	3	2
20	consultare il libro	5	3	2
21	aprire il catalogo	5	4	5
22	chiudere il catalogo	5	4	5
23	spiegare il disegno	5	1	2
24	presentare il diario	5	2	2
25	chiudere la rivista	5	4	5
26	spiegare il libro	5	2	2
27	regalare il disegno	5	3	4
28	comprare il diario	5	3	5
29	sfogliare il diario	5	4	3
30	aprire il diario	5	5	5
31	chiudere il diario	5	5	5
32	sfogliare la rivista	5	4	3
33	raccogliere il diario	5	5	3
34	presentare la rivista	5	3	2
35	comprare la rivista	5	3	5
36	aprire il libro	5	5	5
