	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	5	5	5
1	avere il tavolo	4	4	3
2	cambiare la scrivania	3	4	2
3	comprare la scrivania	5	5	5
4	avere la sedia	4	4	3
5	dare la sedia	4	5	5
6	cambiare la sedia	4	5	5
7	cambiare il tavolo	4	5	5
8	dare il divano	3	4	3
9	comprare il divano	5	4	5
10	avere la scrivania	5	4	5
11	comprare l'armadio	4	4	5
12	dare la scrivania	2	4	2
13	dare l'armadio	2	3	3
14	cambiare l'armadio	3	4	4
15	comprare la sedia	4	4	4
16	avere il divano	4	4	5
17	dare il tavolo	3	4	3
18	cambiare il divano	4	4	4
19	avere l'armadio	4	4	5
