	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'acqua	4	4	5
1	aprire la scatola	5	5	5
2	raccogliere la frutta	5	5	5
3	raccogliere il grano	3	4	4
4	aprire il cassetto	5	5	5
5	regalare l'anello	3	4	5
6	regalare il biglietto	3	4	4
7	regalare la bottiglia	2	4	3
8	raccogliere il fiore	4	5	5
9	aprire la bottega	3	4	4
10	aprire il pacco	4	4	4
11	raccogliere la legna	3	4	4
12	regalare il fiore	4	5	5
13	aprire la busta	4	4	5
14	aprire il frigo	5	5	5
15	regalare la gioiello	4	4	4
16	aprire il portone	3	4	4
17	aprire la porta	5	5	5
18	regalare la foto	2	4	3
19	aprire il coperchio	3	3	4
20	regalare la collana	3	4	4
21	aprire la finestra	5	5	5
22	raccogliere l'erba	2	4	3
23	raccogliere la moneta	2	4	3
24	raccogliere la palla	3	4	5
25	aprire il portello	2	4	4
