	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	5	5
1	presentare la domanda	4	2	2
2	spiegare il motivo	5	2	3
3	consultare la sezione	5	5	5
4	consultare l'elenco	5	5	5
5	presentare l'istanza	2	1	1
6	presentare il progetto	3	2	4
7	spiegare la parola	5	5	5
8	spiegare la situazione	5	5	5
9	consultare l'appendice	5	5	5
10	presentare la denuncia	3	2	2
11	presentare il programma	5	4	4
12	consultare l'esperto	5	5	5
13	presentare il problema	5	4	3
14	spiegare la ragione	5	2	4
15	consultare la tabella	5	5	5
16	spiegare il significato	5	2	4
17	spiegare il concetto	5	2	5
