	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	avere la storia	2.0	1.0	4.0
1	cambiare la storia	5.0	4.0	3.0
2	avere il giudizio	1.0	1.0	4.0
3	cambiare il giudizio	5.0	3.0	4.0
4	avere la notizia	4.0	1.0	1.0
5	dare la storia	5.0	3.0	1.0
6	comprare la storia	1.0	1.0	1.0
7	cambiare l'opinione	5.0	4.0	3.0
8	dare il giudizio	5.0	4.0	3.0
9	avere l'idea	5.0	2.0	1.0
10	dare l'opinione	3.0	4.0	4.0
11	avere l'opinione	3.0	2.0	3.0
12	dare l'idea	5.0	4.0	1.0
13	cambiare l'idea	5.0	1.0	3.0
14				
15				
16	SESSO: F			
17	ANNI: 19			
