	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	1.0	5.0	5.0
1	presentare la domanda	5.0	5.0	5.0
2	spiegare il motivo	5.0	4.0	5.0
3	consultare la sezione	1.0	5.0	5.0
4	consultare l'elenco	4.0	5.0	5.0
5	presentare l'istanza	1.0	5.0	4.0
6	presentare il progetto	5.0	5.0	5.0
7	spiegare la parola	1.0	4.0	4.0
8	spiegare la situazione	5.0	4.0	5.0
9	consultare l'appendice	3.0	4.0	5.0
10	presentare la denuncia	4.0	5.0	5.0
11	presentare il programma	5.0	5.0	5.0
12	consultare l'esperto	5.0	5.0	5.0
13	presentare il problema	1.0	4.0	5.0
14	spiegare la ragione	5.0	4.0	5.0
15	consultare la tabella	4.0	5.0	5.0
16	spiegare il significato	5.0	4.0	5.0
17	spiegare il concetto	5.0	4.0	5.0
18				
19				
20	SESSO: F			
21	ANNI: 19			
