	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	3	4
1	presentare la domanda	4	2	2
2	spiegare il motivo	3	2	2
3	consultare la sezione	1	1	1
4	consultare l'elenco	2	2	3
5	presentare l'istanza	1	2	1
6	presentare il progetto	2	3	3
7	spiegare la parola	3	2	3
8	spiegare la situazione	4	1	3
9	consultare l'appendice	3	3	3
10	presentare la denuncia	3	2	4
11	presentare il programma	3	2	3
12	consultare l'esperto	3	2	2
13	presentare il problema	3	2	3
14	spiegare la ragione	4	2	3
15	consultare la tabella	3	3	3
16	spiegare il significato	4	2	3
17	spiegare il concetto	3	2	3
