	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	3	4	4
1	presentare la domanda	4	2	3
2	spiegare il motivo	5	2	2
3	consultare la sezione	3	2	3
4	consultare l'elenco	4	4	4
5	presentare l'istanza	3	3	3
6	presentare il progetto	3	3	4
7	spiegare la parola	5	3	3
8	spiegare la situazione	5	2	3
9	consultare l'appendice	4	3	3
10	presentare la denuncia	2	3	3
11	presentare il programma	4	3	4
12	consultare l'esperto	4	4	3
13	presentare il problema	4	3	2
14	spiegare la ragione	4	2	3
15	consultare la tabella	5	4	4
16	spiegare il significato	4	2	3
17	spiegare il concetto	5	2	3
