	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	5	5	5
1	sfogliare il catalogo	5	5	5
2	presentare il libro	2	5	4
3	regalare il diario	2	4	3
4	sfogliare il libro	5	5	5
5	aprire la rivista	2	2	3
6	consultare la rivista	3	3	3
7	regalare il catalogo	4	4	4
8	regalare il libro	5	5	5
9	comprare il libro	5	5	5
10	raccogliere il catalogo	4	3	3
11	comprare il disegno	1	1	2
12	raccogliere il disegno	5	5	5
13	comprare il catalogo	5	5	5
14	raccogliere il libro	5	5	5
15	regalare la rivista	5	5	5
16	raccogliere la rivista	5	5	5
17	consultare il catalogo	5	5	5
18	presentare il catalogo	3	4	3
19	presentare il disegno	4	4	4
20	consultare il libro	5	5	5
21	aprire il catalogo	5	5	5
22	chiudere il catalogo	5	5	5
23	spiegare il disegno	5	5	5
24	presentare il diario	1	1	4
25	chiudere la rivista	5	5	5
26	spiegare il libro	5	5	5
27	regalare il disegno	5	5	5
28	comprare il diario	5	5	5
29	sfogliare il diario	4	4	5
30	aprire il diario	5	5	5
31	chiudere il diario	5	5	5
32	sfogliare la rivista	5	5	5
33	raccogliere il diario	5	5	5
34	presentare la rivista	2	2	2
35	comprare la rivista	5	5	5
36	aprire il libro	5	5	5
