	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	2	3	3
1	presentare la domanda	3	3	3
2	spiegare il motivo	3	4	4
3	consultare la sezione	3	2	2
4	consultare l'elenco	3	3	3
5	presentare l'istanza	2	3	2
6	presentare il progetto	3	3	3
7	spiegare la parola	3	3	3
8	spiegare la situazione	3	3	4
9	consultare l'appendice	3	4	4
10	presentare la denuncia	2	3	3
11	presentare il programma	3	4	4
12	consultare l'esperto	3	4	4
13	presentare il problema	3	4	4
14	spiegare la ragione	3	2	2
15	consultare la tabella	4	4	4
16	spiegare il significato	3	4	4
17	spiegare il concetto	3	4	4
