	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	2	2	2
1	organizzare il cenone	4	4	4
2	portare la cena	3	3	4
3	prenotare il merenda	2	2	2
4	cucinare la cena	5	4	4
5	annullare il decreto	3	2	3
6	prenotare la cena	3	3	3
7	organizzare la cena	4	4	4
8	confezione il vestito	3	3	4
9	annullare l'apertivo	2	2	2
10	organizzare la campagna	3	2	2
11	pagare la pasta	2	2	2
12	preparare il convegno	3	4	3
13	prenotare l'apertivo	2	2	1
14	organizzare il servizio	3	4	4
15	organizzare la spedizione	3	4	3
16	organizzare il merenda	3	2	3
17	annunciare il voto	3	3	3
18	preparare il colloquio	4	4	4
19	portare la colazione	4	3	3
20	annullare l'ordinanza	2	2	2
21	preparare la gita	3	4	3
22	annullare il pranzo	2	2	2
23	annunciare il ministro	2	2	2
24	prenotare il biglietto	4	3	3
25	cucinare la verdura	4	3	4
26	cucinare la merenda	3	3	3
27	pagare il pane	3	3	3
28	confezione il regalo	3	3	4
29	annunciare la battaglia	2	2	3
30	portare l'aperitivo	2	2	1
31	cucinare il cibo	4	4	4
32	prenotare l'aereo	3	3	4
33	organizzare il corso	4	4	4
34	prenotare il volo	3	4	4
35	annullare l'iscrizione	3	2	3
36	cucinare il piatto	2	4	3
37	annullare la cena	2	2	2
38	annunciare il presidente	2	2	2
39	preparare la visita	3	3	2
40	cucinare il pranzo	4	4	4
41	prenotare il cenone	4	3	3
42	annunciare il ritiro	2	2	2
43	cucinare la colazione	4	3	3
44	cucinare la carne	4	4	4
45	pagare la lasagna	3	3	2
46	confezionare la colazione	1	2	2
47	portare il pranzo	2	3	3
48	portare l'acqua	3	3	3
49	organizzare il colazione	3	3	3
50	pagare il viaggio	4	4	4
51	preparare l'incontro	4	4	4
52	prenotare l'albergo	4	3	3
53	organizzare l'azione	4	4	3
54	prenotare la camera	4	3	3
55	annunciare l'apertivo	1	1	1
56	confezione il prodotto	3	3	2
57	confezionare la merenda	3	2	2
58	prenotare il treno	4	3	3
59	cucinare il banchetto	3	2	3
60	portare l'attenzione	4	3	3
61	annunciare la decisione	4	3	3
62	annunciare la cena	4	3	3
63	pagare la festa	3	3	3
64	portare il peso	3	3	4
65	pagare la pizza	3	3	3
66	organizzare la difesa	3	3	3
67	preparare la lasagna	4	3	3
68	preparare il pane	3	3	4
69	portare la firma	2	3	2
70	annullare il cenone	2	2	2
71	annunciare l'intenzione	3	4	4
72	prenotare il banchetto	3	2	2
73	annullare la condanna	2	2	2
74	annullare il merenda	2	3	2
75	portare la mano	2	2	2
76	annunciare il risultato	4	3	3
77	preparare la festa	3	3	2
78	pagare la gita	3	3	3
79	prenotare il pranzo	4	3	3
80	annunciare il cenone	4	3	4
81	prenotare il banchetto	4	3	3
82	portare il risultato	3	4	3
83	pagare il panino	3	3	3
84	portare la merenda	3	3	3
85	portare l'esempio	4	3	3
86	portare il frutto	3	3	2
87	organizzare il pranzo	4	3	3
88	preparare il viaggio	4	4	3
89	organizzare la giornata	4	4	3
90	prenotare il colazione	3	3	2
91	preparare il panino	3	3	3
92	pagare l'incontro	3	3	2
93	annunciare il banchetto	3	3	2
94	prenotare il posto	4	4	3
95	confezionare la cena	2	3	2
96	organizzare il banchetto	3	3	2
97	annullare l'effetto	2	2	2
98	organizzare l'apertivo	1	1	2
99	confezione il pacco	3	3	3
100	confezionare il pranzo	2	3	3
101	confezione la camicia	2	3	3
102	confezione l'abito	2	4	3
103	pagare la visita	3	4	3
104	annullare il colazione	2	3	2
105	confezionare l'aperitivo	1	1	1
106	pagare il risotto	1	1	1
107	cucinare la ricetta	4	4	3
108	annullare la decisione	2	3	3
109	preparare la pasta	3	2	3
110	pagare il convegno	3	3	3
111	annunciare l'arrivo	3	4	3
112	annunciare il pranzo	3	3	3
113	preparare la pizza	4	4	3
114	cucinare il cenone	4	4	3
115	preparare il risotto	4	4	4
116	portare il nome	3	3	3
117	portare la arma	2	3	2
