	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	4	5	3
1	organizzare il cenone	3	1	3
2	portare la cena	3	1	5
3	prenotare il merenda	2	4	2
4	cucinare la cena	4	2	4
5	annullare il decreto	4	5	5
6	prenotare la cena	1	1	3
7	organizzare la cena	3	1	5
8	confezione il vestito	2	2	3
9	annullare l'apertivo	2	3	2
10	organizzare la campagna	4	1	5
11	pagare la pasta	1	4	2
12	preparare il convegno	2	3	3
13	prenotare l'apertivo	3	3	4
14	organizzare il servizio	2	1	4
15	organizzare la spedizione	5	2	5
16	organizzare il merenda	2	1	4
17	annunciare il voto	3	3	2
18	preparare il colloquio	4	3	2
19	portare la colazione	3	2	1
20	annullare l'ordinanza	3	4	5
21	preparare la gita	3	4	5
22	annullare il pranzo	2	3	4
23	annunciare il ministro	2	3	2
24	prenotare il biglietto	2	3	4
25	cucinare la verdura	2	3	4
26	cucinare la merenda	5	4	4
27	pagare il pane	3	1	5
28	confezione il regalo	2	4	5
29	annunciare la battaglia	2	2	4
30	portare l'aperitivo	2	4	4
31	cucinare il cibo	2	4	4
32	prenotare l'aereo	1	2	3
33	organizzare il corso	1	3	5
34	prenotare il volo	2	2	4
35	annullare l'iscrizione	2	4	4
36	cucinare il piatto	1	2	3
37	annullare la cena	1	3	4
38	annunciare il presidente	1	2	5
39	preparare la visita	3	1	5
40	cucinare il pranzo	2	2	3
41	prenotare il cenone	3	4	5
42	annunciare il ritiro	1	5	2
43	cucinare la colazione	1	3	4
44	cucinare la carne	2	1	3
45	pagare la lasagna	1	2	3
46	confezionare la colazione	1	1	3
47	portare il pranzo	1	1	3
48	portare l'acqua	2	2	3
49	organizzare il colazione	3	3	3
50	pagare il viaggio	1	1	3
51	preparare l'incontro	3	3	3
52	prenotare l'albergo	1	2	3
53	organizzare l'azione	3	5	4
54	prenotare la camera	2	3	3
55	annunciare l'apertivo	3	4	2
56	confezione il prodotto	2	3	2
57	confezionare la merenda	2	3	4
58	prenotare il treno	2	4	5
59	cucinare il banchetto	2	3	3
60	portare l'attenzione	1	3	3
61	annunciare la decisione	3	4	4
62	annunciare la cena	1	3	5
63	pagare la festa	2	5	5
64	portare il peso	2	5	5
65	pagare la pizza	3	2	3
66	organizzare la difesa	1	2	3
67	preparare la lasagna	3	1	2
68	preparare il pane	3	2	4
69	portare la firma	2	3	5
70	annullare il cenone	2	4	2
71	annunciare l'intenzione	2	4	2
72	prenotare il banchetto	1	5	4
73	annullare la condanna	1	2	3
74	annullare il merenda	1	4	5
75	portare la mano	3	4	5
76	annunciare il risultato	2	2	2
77	preparare la festa	3	3	3
78	pagare la gita	2	3	3
79	prenotare il pranzo	2	2	3
80	annunciare il cenone	1	3	3
81	prenotare il banchetto	2	4	4
82	portare il risultato	2	3	3
83	pagare il panino	3	2	3
84	portare la merenda	3	3	3
85	portare l'esempio	2	2	3
86	portare il frutto	3	4	2
87	organizzare il pranzo	2	3	4
88	preparare il viaggio	3	4	4
89	organizzare la giornata	1	2	3
90	prenotare il colazione	3	4	4
91	preparare il panino	2	3	5
92	pagare l'incontro	3	3	5
93	annunciare il banchetto	2	3	4
94	prenotare il posto	3	4	5
95	confezionare la cena	3	2	1
96	organizzare il banchetto	2	3	3
97	annullare l'effetto	2	3	2
98	organizzare l'apertivo	1	2	3
99	confezione il pacco	1	1	3
100	confezionare il pranzo	1	3	4
101	confezione la camicia	1	2	3
102	confezione l'abito	2	3	3
103	pagare la visita	1	2	3
104	annullare il colazione	1	1	4
105	confezionare l'aperitivo	2	3	4
106	pagare il risotto	2	3	4
107	cucinare la ricetta	1	2	3
108	annullare la decisione	1	3	2
109	preparare la pasta	1	3	2
110	pagare il convegno	1	3	4
111	annunciare l'arrivo	1	2	3
112	annunciare il pranzo	4	2	5
113	preparare la pizza	2	3	3
114	cucinare il cenone	2	4	4
115	preparare il risotto	4	2	3
116	portare il nome	3	3	1
117	portare la arma	2	3	3
