	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	3	4	5
1	organizzare il cenone	3	3	4
2	portare la cena	4	4	5
3	prenotare il merenda	2	4	3
4	cucinare la cena	5	5	5
5	annullare il decreto	2	2	3
6	prenotare la cena	4	4	5
7	organizzare la cena	4	4	5
8	confezione il vestito	1	4	4
9	annullare l'apertivo	5	4	5
10	organizzare la campagna	1	3	3
11	pagare la pasta	4	4	5
12	preparare il convegno	2	3	3
13	prenotare l'apertivo	4	4	5
14	organizzare il servizio	3	4	4
15	organizzare la spedizione	2	3	4
16	organizzare il merenda	3	4	4
17	annunciare il voto	2	3	2
18	preparare il colloquio	3	4	5
19	portare la colazione	3	3	4
20	annullare l'ordinanza	1	2	2
21	preparare la gita	3	3	4
22	annullare il pranzo	3	4	4
23	annunciare il ministro	1	3	4
24	prenotare il biglietto	3	3	4
25	cucinare la verdura	3	4	5
26	cucinare la merenda	2	4	4
27	pagare il pane	5	4	5
28	confezione il regalo	3	4	4
29	annunciare la battaglia	1	3	2
30	portare l'aperitivo	5	5	5
31	cucinare il cibo	5	4	5
32	prenotare l'aereo	2	4	4
33	organizzare il corso	2	3	3
34	prenotare il volo	2	4	4
35	annullare l'iscrizione	3	3	4
36	cucinare il piatto	5	5	5
37	annullare la cena	4	4	4
38	annunciare il presidente	1	3	3
39	preparare la visita	3	3	4
40	cucinare il pranzo	5	5	5
41	prenotare il cenone	3	4	4
42	annunciare il ritiro	3	4	5
43	cucinare la colazione	4	4	4
44	cucinare la carne	5	5	5
45	pagare la lasagna	3	5	5
46	confezionare la colazione	2	4	3
47	portare il pranzo	5	5	5
48	portare l'acqua	4	5	5
49	organizzare il colazione	4	4	5
50	pagare il viaggio	4	5	5
51	preparare l'incontro	3	4	5
52	prenotare l'albergo	4	4	5
53	organizzare l'azione	3	3	3
54	prenotare la camera	4	4	5
55	annunciare l'apertivo	4	4	5
56	confezione il prodotto	2	5	4
57	confezionare la merenda	3	5	4
58	prenotare il treno	5	4	5
59	cucinare il banchetto	2	4	4
60	portare l'attenzione	5	3	5
61	annunciare la decisione	4	4	4
62	annunciare la cena	4	4	4
63	pagare la festa	5	5	5
64	portare il peso	4	4	5
65	pagare la pizza	5	5	5
66	organizzare la difesa	2	3	4
67	preparare la lasagna	3	4	4
68	preparare il pane	2	4	4
69	portare la firma	3	2	2
70	annullare il cenone	2	4	4
71	annunciare l'intenzione	4	4	5
72	prenotare il banchetto	3	4	4
73	annullare la condanna	2	4	4
74	annullare il merenda	3	4	4
75	portare la mano	3	4	5
76	annunciare il risultato	3	4	4
77	preparare la festa	4	4	5
78	pagare la gita	3	4	5
79	prenotare il pranzo	4	5	5
80	annunciare il cenone	3	4	5
81	prenotare il banchetto	3	4	3
82	portare il risultato	3	3	4
83	pagare il panino	4	5	5
84	portare la merenda	4	5	5
85	portare l'esempio	4	4	4
86	portare il frutto	5	5	5
87	organizzare il pranzo	4	4	5
88	preparare il viaggio	4	4	5
89	organizzare la giornata	4	3	5
90	prenotare il colazione	3	4	4
91	preparare il panino	4	5	5
92	pagare l'incontro	4	4	4
93	annunciare il banchetto	3	3	4
94	prenotare il posto	4	5	5
95	confezionare la cena	3	3	4
96	organizzare il banchetto	3	4	3
97	annullare l'effetto	2	2	3
98	organizzare l'apertivo	4	4	5
99	confezione il pacco	3	4	4
100	confezionare il pranzo	3	4	4
101	confezione la camicia	2	5	4
102	confezione l'abito	2	5	4
103	pagare la visita	4	5	5
104	annullare il colazione	3	4	4
105	confezionare l'aperitivo	2	3	3
106	pagare il risotto	3	5	5
107	cucinare la ricetta	3	4	5
108	annullare la decisione	4	3	4
109	preparare la pasta	5	5	5
110	pagare il convegno	3	4	5
111	annunciare l'arrivo	3	4	4
112	annunciare il pranzo	3	4	5
113	preparare la pizza	2	5	5
114	cucinare il cenone	2	4	5
115	preparare il risotto	4	5	5
116	portare il nome	2	2	2
117	portare la arma	2	3	4
