	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	3	3	4
1	portare l'abito	3	3	4
2	avere la gomma	5	5	5
3	portare il libro	5	5	5
4	annullare l'intervento	5	3	3
5	preparare il concerto	5	4	2
6	dare il righello	5	5	5
7	confezionare il cibo	4	4	2
8	preparare la mostra	4	3	5
9	annullare il corso	5	3	3
10	portare il pacchtto	4	5	5
11	pagare il concerto	5	5	5
12	portare il fiore	4	5	4
13	portare il piatto	5	5	4
14	confezionare il piatto	2	1	2
15	confezionare la verdura	3	2	2
16	dare la matita	5	5	5
17	annullare il servizio	5	5	4
18	portare la verdura	3	4	3
19	avere la penna	5	5	5
20	prenotare la mostra	5	4	4
21	annullare la spedizione	2	3	2
22	avere la matita	5	5	5
23	portare la camicia	4	4	5
24	confezionare il fiore	2	3	2
25	prenotare il servizio	4	4	4
26	cambiare la penna	5	5	5
27	prenotare l'iscrizione	5	4	5
28	prenotare la spedizione	2	3	2
29	avere il righello	5	5	5
30	prenotare l'incontro	4	3	3
31	dare la gomma	5	5	5
32	annullare l'incontro	5	4	4
33	prenotare l'intervento	4	4	3
34	portare il legno	2	2	2
35	prenotare il concerto	5	4	3
36	annullare l'appuntamento	5	4	4
37	confezionare il libro	3	5	2
38	annullare l'iscrizione	5	4	4
39	annullare la mostra	5	4	4
40	confezionare il carne	1	1	1
41	portare il carne	1	1	1
42	organizzare il concerto	4	3	3
43	prenotare l'appuntamento	2	4	4
44	portare il cibo	5	5	5
45	pagare la mostra	5	5	4
46	annullare il concerto	5	4	3
47	organizzare la mostra	5	3	3
48	cambiare la matita	5	5	5
49	dare la penna	5	5	5
50	prenotare il corso	5	4	4
