	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	2	5	5
1	portare l'abito	5	5	5
2	offrire il viaggio	1	4	3
3	portare il libro	4	5	4
4	annullare l'intervento	2	3	3
5	preparare il concerto	1	4	3
6	confezionare il cibo	1	4	2
7	preparare la mostra	1	4	3
8	annullare il corso	4	3	4
9	portare il pacchtto	3	5	3
10	pagare il concerto	2	4	3
11	portare il fiore	1	5	2
12	portare il piatto	3	5	4
13	confezionare il piatto	1	5	2
14	confezionare la verdura	1	5	2
15	annullare il servizio	1	2	3
16	portare la verdura	1	5	2
17	offrire la festa	3	2	3
18	prenotare la mostra	3	3	4
19	annullare la spedizione	2	2	2
20	offrire la gita	1	2	2
21	portare la camicia	4	4	4
22	confezionare il fiore	1	5	2
23	prenotare il servizio	1	4	2
24	offrire la mostra	2	2	3
25	prenotare l'iscrizione	5	4	5
26	prenotare la spedizione	4	3	4
27	offrire il convegno	1	2	2
28	prenotare l'incontro	4	3	4
29	annullare l'incontro	4	2	4
30	prenotare l'intervento	3	2	3
31	portare il legno	1	4	4
32	prenotare il concerto	3	2	4
33	annullare l'appuntamento	4	2	5
34	confezionare il libro	3	4	3
35	annullare l'iscrizione	4	2	4
36	annullare la mostra	1	2	2
37	confezionare il carne	1	4	2
38	portare il carne	1	5	1
39	organizzare il concerto	1	4	2
40	prenotare l'appuntamento	4	3	4
41	portare il cibo	4	4	4
42	pagare la mostra	4	3	4
43	annullare il concerto	1	2	2
44	organizzare la mostra	1	3	2
45	offrire la vista	2	2	1
46	offrire il concerto	2	2	3
47	prenotare il corso	4	3	4
