	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	5	5	5
1	portare l'abito	4	5	4
2	offrire il viaggio	4	3	3
3	portare il libro	5	5	5
4	annullare l'intervento	4	3	4
5	preparare il concerto	5	5	4
6	confezionare il cibo	4	5	5
7	preparare la mostra	4	5	5
8	annullare il corso	5	3	4
9	portare il pacchtto	5	5	5
10	pagare il concerto	5	5	5
11	portare il fiore	5	5	5
12	portare il piatto	5	5	5
13	confezionare il piatto	5	5	5
14	confezionare la verdura	4	5	5
15	annullare il servizio	4	3	4
16	portare la verdura	5	5	5
17	offrire la festa	4	3	3
18	prenotare la mostra	5	5	5
19	annullare la spedizione	5	3	3
20	offrire la gita	4	3	3
21	portare la camicia	4	5	5
22	confezionare il fiore	5	5	5
23	prenotare il servizio	5	4	5
24	offrire la mostra	4	3	4
25	prenotare l'iscrizione	5	5	5
26	prenotare la spedizione	5	5	5
27	offrire il convegno	4	3	3
28	prenotare l'incontro	4	4	4
29	annullare l'incontro	5	3	4
30	prenotare l'intervento	3	3	3
31	portare il legno	3	5	5
32	prenotare il concerto	5	4	5
33	annullare l'appuntamento	5	3	5
34	confezionare il libro	5	5	5
35	annullare l'iscrizione	5	3	5
36	annullare la mostra	5	3	5
37	confezionare il carne	2	4	5
38	portare il carne	1	4	5
39	organizzare il concerto	5	3	5
40	prenotare l'appuntamento	5	4	5
41	portare il cibo	5	5	5
42	pagare la mostra	5	5	5
43	annullare il concerto	5	3	5
44	organizzare la mostra	5	3	5
45	offrire la vista	3	3	4
46	offrire il concerto	3	3	4
47	prenotare il corso	5	4	5
