	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	5	5	5
1	portare l'abito	5	5	5
2	avere la gomma	5	5	5
3	portare il libro	5	5	5
4	annullare l'intervento	2	4	4
5	preparare il concerto	2	3	4
6	dare il righello	5	5	5
7	confezionare il cibo	5	5	5
8	preparare la mostra	3	4	4
9	annullare il corso	3	4	5
10	portare il pacchtto	5	5	5
11	pagare il concerto	5	5	5
12	portare il fiore	5	5	5
13	portare il piatto	5	5	5
14	confezionare il piatto	5	5	5
15	confezionare la verdura	5	5	5
16	dare la matita	5	5	5
17	annullare il servizio	1	3	1
18	portare la verdura	5	5	5
19	avere la penna	5	5	5
20	prenotare la mostra	5	5	5
21	annullare la spedizione	1	3	3
22	avere la matita	5	5	5
23	portare la camicia	5	5	5
24	confezionare il fiore	5	5	5
25	prenotare il servizio	1	2	2
26	cambiare la penna	5	5	5
27	prenotare l'iscrizione	5	5	5
28	prenotare la spedizione	1	1	1
29	avere il righello	5	5	5
30	prenotare l'incontro	5	5	5
31	dare la gomma	5	5	5
32	annullare l'incontro	5	5	5
33	prenotare l'intervento	1	5	5
34	portare il legno	5	5	5
35	prenotare il concerto	5	5	5
36	annullare l'appuntamento	5	5	5
37	confezionare il libro	1	5	5
38	annullare l'iscrizione	5	5	5
39	annullare la mostra	5	5	5
40	confezionare il carne	5	5	5
41	portare il carne	5	5	5
42	organizzare il concerto	2	5	5
43	prenotare l'appuntamento	5	5	5
44	portare il cibo	5	5	5
45	pagare la mostra	5	5	5
46	annullare il concerto	5	5	5
47	organizzare la mostra	2	4	5
48	cambiare la matita	5	5	5
49	dare la penna	5	5	5
50	prenotare il corso	5	5	5
