	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	1	2	3
1	portare l'abito	3	3	3
2	offrire il viaggio	3	4	3
3	portare il libro	4	4	3
4	annullare l'intervento	3	3	3
5	preparare il concerto	3	4	3
6	confezionare il cibo	3	2	3
7	preparare la mostra	4	4	3
8	annullare il corso	3	3	2
9	portare il pacchtto	2	3	3
10	pagare il concerto	3	3	3
11	portare il fiore	2	3	3
12	portare il piatto	2	3	3
13	confezionare il piatto	2	3	3
14	confezionare la verdura	2	2	3
15	annullare il servizio	3	3	2
16	portare la verdura	2	2	3
17	offrire la festa	3	3	3
18	prenotare la mostra	3	4	3
19	annullare la spedizione	3	3	3
20	offrire la gita	4	3	3
21	portare la camicia	3	3	3
22	confezionare il fiore	2	3	3
23	prenotare il servizio	3	3	4
24	offrire la mostra	2	3	3
25	prenotare l'iscrizione	4	4	4
26	prenotare la spedizione	3	3	3
27	offrire il convegno	3	3	3
28	prenotare l'incontro	4	3	4
29	annullare l'incontro	3	3	3
30	prenotare l'intervento	3	3	3
31	portare il legno	2	2	3
32	prenotare il concerto	3	3	3
33	annullare l'appuntamento	2	3	4
34	confezionare il libro	2	3	2
35	annullare l'iscrizione	3	2	3
36	annullare la mostra	3	2	3
37	confezionare il carne	2	3	2
38	portare il carne	2	3	3
39	organizzare il concerto	2	4	3
40	prenotare l'appuntamento	3	4	4
41	portare il cibo	3	3	4
42	pagare la mostra	3	3	3
43	annullare il concerto	3	3	3
44	organizzare la mostra	4	4	4
45	offrire la vista	2	3	3
46	offrire il concerto	3	3	3
47	prenotare il corso	3	4	4
