	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	1.0	4.0	3.0
1	portare l'abito	2.0	4.0	3.0
2	offrire il viaggio	4.0	4.0	5.0
3	portare il libro	4.0	4.0	5.0
4	annullare l'intervento	4.0	4.0	5.0
5	preparare il concerto	2.0	3.0	3.0
6	confezionare il cibo	4.0	5.0	3.0
7	preparare la mostra	5.0	5.0	4.0
8	annullare il corso	3.0	5.0	4.0
9	portare il pacchtto	3.0	4.0	4.0
10	pagare il concerto	5.0	4.0	5.0
11	portare il fiore	1.0	3.0	1.0
12	portare il piatto	5.0	4.0	4.0
13	confezionare il piatto	2.0	3.0	1.0
14	confezionare la verdura	4.0	4.0	4.0
15	annullare il servizio	5.0	5.0	3.0
16	portare la verdura	1.0	5.0	5.0
17	offrire la festa	1.0	1.0	1.0
18	prenotare la mostra	5.0	4.0	4.0
19	annullare la spedizione	5.0	4.0	3.0
20	offrire la gita	1.0	1.0	1.0
21	portare la camicia	4.0	4.0	4.0
22	confezionare il fiore	1.0	1.0	4.0
23	prenotare il servizio	4.0	4.0	3.0
24	offrire la mostra	1.0	1.0	1.0
25	prenotare l'iscrizione	5.0	4.0	4.0
26	prenotare la spedizione	5.0	4.0	4.0
27	offrire il convegno	1.0	1.0	4.0
28	prenotare l'incontro	5.0	4.0	4.0
29	annullare l'incontro	5.0	4.0	4.0
30	prenotare l'intervento	5.0	4.0	4.0
31	portare il legno	1.0	4.0	3.0
32	prenotare il concerto	4.0	4.0	4.0
33	annullare l'appuntamento	5.0	4.0	4.0
34	confezionare il libro	2.0	5.0	3.0
35	annullare l'iscrizione	5.0	4.0	4.0
36	annullare la mostra	5.0	4.0	4.0
37	confezionare il carne	1.0	1.0	1.0
38	portare il carne	3.0	5.0	5.0
39	organizzare il concerto	1.0	5.0	4.0
40	prenotare l'appuntamento	2.0	5.0	4.0
41	portare il cibo	4.0	3.0	4.0
42	pagare la mostra	4.0	4.0	4.0
43	annullare il concerto	4.0	4.0	4.0
44	organizzare la mostra	4.0	4.0	4.0
45	offrire la vista	1.0	1.0	1.0
46	offrire il concerto	1.0	1.0	1.0
47	prenotare il corso	3.0	4.0	3.0
48				
49				
50	SESSO: F			
51	ANNI: 19			
