	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	5	3	3
1	valutare il premio	3	3	4
2	ristrutturare il sistema	3	1	3
3	edificare l'appartamento	2	4	4
4	demolire l'appartamento	3	5	5
5	sostenere il programma	4	3	3
6	edificare la biblioteca	3	3	4
7	istituire il corso	3	2	3
8	istituire la proposta	2	2	4
9	demolire l'economia	2	3	3
10	valutare il programma	4	3	4
11	valutare il progetto	4	3	3
12	sospendere il progetto	4	4	3
13	sostenere il servizio	3	2	2
14	valutare il corso	5	4	4
15	valutare la proposta	5	3	3
16	sospendere il sistema	3	3	2
17	istituire il premio	3	2	2
18	edificare il sistema	1	2	3
19	sospendere il programma	4	4	4
20	sostenere il sistema	3	3	3
21	edificare il museo	3	4	4
22	edificare l'economia	2	3	3
23	istituire l'economia	2	2	3
24	sostenere la proposta	5	3	4
25	sospendere la proposta	3	2	2
26	demolire il sistema	2	2	3
27	valutare l'economia	4	3	4
28	demolire la biblioteca	4	5	5
29	ristrutturare il museo	4	5	5
30	istituire il programma	3	3	2
31	sostenere l'economia	4	3	2
32	demolire il museo	3	5	5
33	ristrutturare la biblioteca	4	5	5
34	sospendere il corso	4	3	4
35	istituire il progetto	3	2	3
36	sospendere l'economia	4	2	3
37	valutare il servizio	4	4	4
