	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	4	2	3
1	valutare il premio	4	3	3
2	ristrutturare il sistema	2	2	2
3	edificare l'appartamento	1	4	3
4	demolire l'appartamento	2	4	3
5	sostenere il programma	4	4	4
6	edificare la biblioteca	1	4	3
7	istituire il corso	2	2	2
8	istituire la proposta	3	3	3
9	demolire l'economia	1	1	2
10	valutare il programma	4	3	3
11	valutare il progetto	4	3	3
12	sospendere il progetto	4	3	3
13	sostenere il servizio	3	2	2
14	valutare il corso	3	2	3
15	valutare la proposta	3	3	3
16	sospendere il sistema	1	2	2
17	istituire il premio	2	2	2
18	edificare il sistema	2	2	2
19	sospendere il programma	3	3	3
20	sostenere il sistema	4	4	4
21	edificare il museo	2	5	4
22	edificare l'economia	1	1	1
23	istituire l'economia	1	1	2
24	sostenere la proposta	4	3	3
25	sospendere la proposta	2	3	2
26	demolire il sistema	1	1	1
27	valutare l'economia	3	2	3
28	demolire la biblioteca	1	4	3
29	ristrutturare il museo	3	4	4
30	istituire il programma	3	3	3
31	sostenere l'economia	3	2	2
32	demolire il museo	2	2	2
33	ristrutturare la biblioteca	4	3	3
34	sospendere il corso	4	4	3
35	istituire il progetto	3	3	2
36	sospendere l'economia	1	1	1
37	valutare il servizio	5	3	4
