	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	4	2	3
1	valutare il premio	2	2	2
2	ristrutturare il sistema	3	1	5
3	edificare l'appartamento	5	5	5
4	demolire l'appartamento	5	5	5
5	sostenere il programma	3	1	3
6	edificare la biblioteca	5	5	5
7	istituire il corso	3	3	3
8	istituire la proposta	4	4	4
9	demolire l'economia	1	1	1
10	valutare il programma	4	3	3
11	valutare il progetto	5	5	5
12	sospendere il progetto	5	5	5
13	sostenere il servizio	5	5	5
14	valutare il corso	4	2	4
15	valutare la proposta	3	3	3
16	sospendere il sistema	2	3	1
17	istituire il premio	1	4	1
18	edificare il sistema	3	2	3
19	sospendere il programma	4	2	3
20	sostenere il sistema	2	2	2
21	edificare il museo	5	5	5
22	edificare l'economia	3	3	3
23	istituire l'economia	3	3	3
24	sostenere la proposta	5	5	5
25	sospendere la proposta	5	5	5
26	demolire il sistema	2	2	2
27	valutare l'economia	2	3	3
28	demolire la biblioteca	5	5	5
29	ristrutturare il museo	5	5	5
30	istituire il programma	4	3	3
31	sostenere l'economia	5	2	3
32	demolire il museo	5	5	5
33	ristrutturare la biblioteca	5	5	5
34	sospendere il corso	3	3	3
35	istituire il progetto	5	5	5
36	sospendere l'economia	2	3	3
37	valutare il servizio	5	5	5
