	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	4	3	4
1	valutare il premio	4	3	4
2	ristrutturare il sistema	2	3	2
3	edificare l'appartamento	4	4	4
4	demolire l'appartamento	3	5	4
5	sostenere il programma	4	3	4
6	edificare la biblioteca	4	4	3
7	istituire il corso	4	3	5
8	istituire la proposta	3	4	4
9	demolire l'economia	3	3	3
10	valutare il programma	4	3	4
11	valutare il progetto	5	4	5
12	sospendere il progetto	4	4	4
13	sostenere il servizio	5	4	4
14	valutare il corso	4	3	4
15	valutare la proposta	4	4	4
16	sospendere il sistema	3	3	4
17	istituire il premio	4	4	5
18	edificare il sistema	3	4	3
19	sospendere il programma	4	4	4
20	sostenere il sistema	4	4	4
21	edificare il museo	4	5	5
22	edificare l'economia	3	4	3
23	istituire l'economia	3	4	3
24	sostenere la proposta	4	4	4
25	sospendere la proposta	4	3	3
26	demolire il sistema	4	4	3
27	valutare l'economia	4	4	4
28	demolire la biblioteca	3	4	2
29	ristrutturare il museo	5	5	5
30	istituire il programma	4	4	4
31	sostenere l'economia	4	4	5
32	demolire il museo	3	4	3
33	ristrutturare la biblioteca	4	5	5
34	sospendere il corso	4	4	4
35	istituire il progetto	4	4	5
36	sospendere l'economia	2	3	2
37	valutare il servizio	4	4	4
