	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	3	2	2
1	valutare il premio	1	2	2
2	ristrutturare il sistema	2	2	2
3	edificare l'appartamento	2	4	3
4	demolire l'appartamento	3	4	4
5	edificare la biblioteca	3	4	4
6	istituire il corso	3	3	4
7	istituire la proposta	3	2	3
8	demolire l'economia	2	1	2
9	valutare il programma	3	4	4
10	valutare il progetto	3	4	4
11	sospendere il progetto	3	4	4
12	valutare il corso	3	3	4
13	valutare la proposta	3	3	3
14	sospendere il sistema	2	2	2
15	istituire il premio	2	3	3
16	edificare il sistema	2	2	2
17	sospendere il programma	3	2	3
18	edificare il museo	2	4	4
19	edificare l'economia	2	2	2
20	istituire l'economia	1	2	2
21	sospendere la proposta	3	2	3
22	demolire il sistema	3	2	2
23	valutare l'economia	1	2	2
24	demolire la biblioteca	2	4	4
25	ristrutturare il museo	3	4	4
26	istituire il programma	2	3	3
27	demolire il museo	2	4	4
28	ristrutturare la biblioteca	3	4	4
29	sospendere il corso	3	3	4
30	istituire il progetto	3	3	3
31	sospendere l'economia	1	2	2
32	valutare il servizio	3	3	3
