	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	1	1	1
1	valutare il premio	3	1	2
2	ristrutturare il sistema	1	1	1
3	edificare l'appartamento	3	5	4
4	demolire l'appartamento	3	5	4
5	sostenere il programma	3	2	1
6	edificare la biblioteca	3	5	4
7	istituire il corso	3	2	4
8	istituire la proposta	2	2	3
9	demolire l'economia	1	1	1
10	valutare il programma	2	2	1
11	valutare il progetto	3	2	3
12	sospendere il progetto	3	2	3
13	sostenere il servizio	1	2	1
14	valutare il corso	3	3	3
15	valutare la proposta	3	3	3
16	sospendere il sistema	2	1	1
17	istituire il premio	2	2	3
18	edificare il sistema	1	2	1
19	sospendere il programma	2	2	3
20	sostenere il sistema	1	2	3
21	edificare il museo	3	5	5
22	edificare l'economia	3	1	1
23	istituire l'economia	1	1	1
24	sostenere la proposta	3	2	2
25	sospendere la proposta	3	1	2
26	demolire il sistema	1	2	1
27	valutare l'economia	2	2	3
28	demolire la biblioteca	3	5	5
29	ristrutturare il museo	3	5	5
30	istituire il programma	3	1	1
31	sostenere l'economia	1	1	2
32	demolire il museo	3	5	5
33	ristrutturare la biblioteca	3	5	5
34	sospendere il corso	4	3	4
35	istituire il progetto	4	2	3
36	sospendere l'economia	1	1	2
37	valutare il servizio	3	3	2
