	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	5	5	5
1	sfogliare il catalogo	1	1	1
2	presentare il libro	1	2	2
3	regalare il diario	5	4	4
4	sfogliare il libro	5	5	5
5	aprire la rivista	4	5	5
6	consultare la rivista	4	3	5
7	regalare il catalogo	1	1	1
8	regalare il libro	5	5	5
9	comprare il libro	5	5	5
10	raccogliere il catalogo	4	3	3
11	comprare il disegno	1	1	1
12	raccogliere il disegno	2	4	4
13	comprare il catalogo	1	1	1
14	raccogliere il libro	4	5	5
15	regalare la rivista	1	4	4
16	raccogliere la rivista	4	4	4
17	consultare il catalogo	2	2	2
18	presentare il catalogo	2	2	2
19	presentare il disegno	2	2	2
20	consultare il libro	4	5	5
21	aprire il catalogo	1	4	4
22	chiudere il catalogo	1	5	5
23	spiegare il disegno	4	4	4
24	presentare il diario	2	2	2
25	chiudere la rivista	1	1	1
26	spiegare il libro	5	5	5
27	regalare il disegno	1	1	1
28	comprare il diario	4	4	4
29	sfogliare il diario	4	4	4
30	aprire il diario	4	5	5
31	chiudere il diario	4	5	5
32	sfogliare la rivista	4	4	4
33	raccogliere il diario	1	4	5
34	presentare la rivista	1	4	4
35	comprare la rivista	4	5	4
36	aprire il libro	5	5	5
