	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	armadio antico	5	5	4
1	sedia antica	5	5	5
2	armadio nuovo	5	5	5
3	notizia vecchio	2	2	2
4	armadio moderno	5	5	5
5	sedia moderna	5	5	4
6	divano moderno	5	5	4
7	tavolo antico	5	5	3
8	idea vecchia	5	1	3
9	notizia nuova	5	3	3
10	poesia semplice	5	3	3
11	armadio semplice	5	5	4
12	favola nuova	4	2	3
13	poesia antica	5	4	4
14	poesia moderna	5	4	3
15	idea semplice	4	1	4
16	divano vecchio	5	5	5
17	storia nuova	4	3	3
18	notizia semplice	4	3	3
19	storia moderna	5	3	4
20	favola antica	4	3	3
21	poesia nuova	4	3	3
22	sedia nuova	5	5	5
23	storia vecchia	5	3	4
24	tavolo vecchio	5	5	5
25	sedia semplice	4	5	5
26	tavolo semplice	4	5	5
27	scrivania moderna	5	5	5
28	scrivania vecchia	5	5	5
29	sedia vecchia	5	5	5
30	storia antica	5	3	4
31	favola semplice	4	3	3
32	divano nuovo	5	5	5
33	scrivania antica	5	5	5
34	favola vecchia	4	3	3
35	idea nuova	5	1	4
36	armadio vecchio	5	5	5
37	tavolo nuovo	5	5	5
38	divano antico	5	5	5
39	storia semplice	4	2	4
40	scrivania nuova	5	5	5
41	favola moderna	2	2	2
42	scrivania semplice	5	5	5
43	tavolo moderno	5	5	5
44	divano semplice	5	5	5
