	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	armadio antico	5	5	5
1	sedia antica	5	5	5
2	armadio nuovo	4	4	4
3	notizia vecchio	3	1	1
4	armadio moderno	4	4	4
5	sedia moderna	4	4	4
6	divano moderno	4	4	4
7	tavolo antico	5	5	5
8	idea vecchia	4	2	1
9	notizia nuova	4	3	3
10	poesia semplice	3	3	3
11	armadio semplice	3	3	3
12	favola nuova	3	3	3
13	poesia antica	4	4	4
14	poesia moderna	3	3	3
15	idea semplice	4	2	2
16	divano vecchio	5	5	5
17	storia nuova	3	3	3
18	notizia semplice	3	2	2
19	storia moderna	4	3	4
20	favola antica	4	3	3
21	poesia nuova	4	3	3
22	sedia nuova	5	5	5
23	storia vecchia	3	3	3
24	tavolo vecchio	5	5	5
25	sedia semplice	4	4	4
26	tavolo semplice	4	4	4
27	scrivania moderna	5	5	5
28	scrivania vecchia	5	5	5
29	sedia vecchia	5	5	5
30	storia antica	4	4	4
31	favola semplice	3	3	3
32	divano nuovo	4	4	4
33	scrivania antica	5	5	5
34	favola vecchia	3	3	3
35	idea nuova	4	3	3
36	armadio vecchio	5	5	5
37	tavolo nuovo	4	4	4
38	divano antico	5	5	5
39	storia semplice	3	2	2
40	scrivania nuova	4	4	4
41	favola moderna	3	3	3
42	scrivania semplice	4	4	4
43	tavolo moderno	5	5	5
44	divano semplice	4	4	4
