	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	armadio antico	5	5	5
1	sedia antica	5	5	5
2	armadio nuovo	5	5	5
3	notizia vecchio	2	1	3
4	armadio moderno	5	5	5
5	sedia moderna	5	5	5
6	divano moderno	5	5	5
7	tavolo antico	5	5	5
8	idea vecchia	2	1	2
9	notizia nuova	4	4	4
10	poesia semplice	3	2	4
11	armadio semplice	5	5	4
12	favola nuova	4	5	4
13	poesia antica	4	4	4
14	poesia moderna	4	4	4
15	idea semplice	3	1	4
16	divano vecchio	5	5	5
17	storia nuova	1	1	2
18	notizia semplice	1	1	3
19	storia moderna	4	1	1
20	favola antica	4	1	5
21	poesia nuova	1	1	4
22	sedia nuova	5	5	5
23	storia vecchia	1	1	4
24	tavolo vecchio	5	5	5
25	sedia semplice	5	5	5
26	tavolo semplice	5	5	5
27	scrivania moderna	5	5	5
28	scrivania vecchia	5	5	5
29	sedia vecchia	5	5	5
30	storia antica	1	1	3
31	favola semplice	3	1	4
32	divano nuovo	5	5	5
33	scrivania antica	5	5	5
34	favola vecchia	3	1	3
35	idea nuova	4	1	5
36	armadio vecchio	5	5	5
37	tavolo nuovo	5	5	5
38	divano antico	5	5	5
39	storia semplice	2	1	4
40	scrivania nuova	5	5	5
41	favola moderna	1	1	1
42	scrivania semplice	5	5	4
43	tavolo moderno	4	5	4
44	divano semplice	4	5	5
