	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	armadio antico	3	3	3
1	sedia antica	3	3	3
2	armadio nuovo	4	4	4
3	notizia vecchio	2	1	1
4	armadio moderno	4	4	4
5	sedia moderna	4	4	4
6	divano moderno	4	4	4
7	tavolo antico	3	3	3
8	idea vecchia	2	1	1
9	notizia nuova	4	2	3
10	poesia semplice	3	1	2
11	armadio semplice	3	3	4
12	favola nuova	2	1	2
13	poesia antica	2	1	1
14	poesia moderna	2	1	2
15	idea semplice	3	2	3
16	divano vecchio	3	3	3
17	storia nuova	3	2	2
18	notizia semplice	3	2	2
19	storia moderna	4	2	2
20	favola antica	2	1	1
21	poesia nuova	2	1	2
22	sedia nuova	4	4	4
23	storia vecchia	4	1	1
24	tavolo vecchio	3	3	3
25	sedia semplice	3	4	4
26	tavolo semplice	3	4	4
27	scrivania moderna	4	4	4
28	scrivania vecchia	2	3	3
29	sedia vecchia	3	3	3
30	storia antica	3	1	1
31	favola semplice	2	1	1
32	divano nuovo	4	4	4
33	scrivania antica	3	3	3
34	favola vecchia	2	1	1
35	idea nuova	4	2	2
36	armadio vecchio	3	3	3
37	tavolo nuovo	4	4	4
38	divano antico	2	3	3
39	storia semplice	4	1	2
40	scrivania nuova	4	4	4
41	favola moderna	2	2	1
42	scrivania semplice	3	4	3
43	tavolo moderno	4	4	4
44	divano semplice	3	4	4
