	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	armadio antico	3	5	5
1	sedia antica	3	5	5
2	armadio nuovo	4	5	5
3	notizia vecchio	2	3	3
4	armadio moderno	2	3	5
5	sedia moderna	3	5	5
6	divano moderno	4	5	5
7	tavolo antico	1	2	4
8	idea vecchia	1	1	1
9	notizia nuova	5	4	1
10	poesia semplice	5	2	5
11	armadio semplice	5	5	5
12	favola nuova	1	1	2
13	poesia antica	5	1	5
14	poesia moderna	1	2	1
15	idea semplice	4	3	5
16	divano vecchio	1	4	1
17	storia nuova	4	4	5
18	notizia semplice	4	4	5
19	storia moderna	2	2	1
20	favola antica	5	1	5
21	poesia nuova	1	1	2
22	sedia nuova	5	5	5
23	storia vecchia	5	2	4
24	tavolo vecchio	1	1	3
25	sedia semplice	5	5	5
26	tavolo semplice	1	4	5
27	scrivania moderna	5	5	5
28	scrivania vecchia	1	4	2
29	sedia vecchia	1	2	3
30	storia antica	2	2	5
31	favola semplice	3	1	5
32	divano nuovo	5	5	5
33	scrivania antica	3	2	2
34	favola vecchia	4	1	5
35	idea nuova	4	1	4
36	armadio vecchio	2	3	3
37	tavolo nuovo	5	5	5
38	divano antico	1	3	3
39	storia semplice	2	2	4
40	scrivania nuova	5	5	5
41	favola moderna	1	1	3
42	scrivania semplice	5	5	4
43	tavolo moderno	5	5	5
44	divano semplice	4	5	3
