	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	3	5	5
1	vendere il tavolo	3	5	5
2	riparare la scrivania	2	4	3
3	comprare la scrivania	5	5	5
4	vendere il frigo	2	3	4
5	vendere la sedia	2	4	4
6	pulire la sedia	5	5	3
7	riparare la sedia	3	5	4
8	riparare il frigo	3	5	4
9	riparare il tavolo	3	5	4
10	pulire il divano	5	5	5
11	comprare il divano	4	5	5
12	vendere la scrivania	3	5	4
13	comprare l'armadio	5	5	5
14	pulire la scrivania	5	5	5
15	pulire l'armadio	4	5	4
16	riparare l'armadio	3	4	4
17	comprare la sedia	5	5	5
18	vendere il divano	3	5	4
19	pulire il tavolo	5	5	5
20	comprare il frigo	5	5	5
21	riparare il divano	2	3	3
22	pulire il frigo	5	5	5
23	vendere l'armadio	3	5	4
