	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	5	5	4
1	avere il tavolo	5	2	3
2	cambiare la scrivania	5	4	4
3	comprare la scrivania	5	5	4
4	avere la sedia	5	2	3
5	dare la sedia	4	3	4
6	cambiare la sedia	5	4	4
7	cambiare il tavolo	5	4	4
8	dare il divano	4	3	4
9	comprare il divano	5	5	4
10	avere la scrivania	5	2	3
11	comprare l'armadio	5	5	4
12	dare la scrivania	4	3	4
13	dare l'armadio	4	3	4
14	cambiare l'armadio	5	4	4
15	comprare la sedia	5	5	4
16	avere il divano	5	2	3
17	dare il tavolo	4	3	4
18	cambiare il divano	5	4	4
19	avere l'armadio	5	2	3
