	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	sentire la storia	4	1	5
1	inventare la favola	2	5	5
2	inventare la storia	5	5	5
3	disporre il giudizio	5	3	3
4	narrare la storia	5	5	5
5	sentire l'idea	5	1	5
6	raccontare la favola	3	5	5
7	ritenere il giudizio	2	2	1
8	raccontare la storia	5	5	5
9	esprimere il giudizio	5	5	5
10	sentire il giudizio	5	1	5
11	narrare la favola	3	5	5
12	sentire la poesia	5	1	4
13	seguire la storia	5	2	5
14	ricevere la notizia	5	3	5
15	sentire la favola	2	2	3
16	seguire l'idea	5	3	4
17	sentire la notizia	5	2	5
