	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	sentire la storia	3	2	5
1	inventare la favola	2	2	5
2	inventare la storia	3	1	5
3	disporre il giudizio	4	4	3
4	narrare la storia	2	4	4
5	sentire l'idea	4	2	4
6	raccontare la favola	2	3	4
7	ritenere il giudizio	3	3	3
8	raccontare la storia	3	3	4
9	esprimere il giudizio	3	4	3
10	sentire il giudizio	4	4	3
11	narrare la favola	1	3	4
12	sentire la poesia	2	3	5
13	seguire la storia	4	4	3
14	ricevere la notizia	3	4	2
15	sentire la favola	2	2	4
16	seguire l'idea	3	4	3
17	sentire la notizia	3	4	3
