	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	catalogo bagnato	2	4	3
1	catalogo consumato	1	5	3
2	catalogo informatica	4	4	1
3	catalogo scientifico	5	5	2
4	catalogo stampato	5	5	5
5	catalogo tecnico	1	4	1
6	diario bagnato	4	2	3
7	diario consumato	5	5	5
8	diario informatico	1	2	1
9	diario scientifico	1	2	4
10	diario stampato	5	5	5
11	diario tecnico	1	3	2
12	disegno bagnato	5	5	4
13	disegno consumato	4	2	3
14	disegno informatico	1	1	5
15	disegno scientifico	5	2	1
16	disegno stampato	5	4	4
17	disegno tecnico	5	4	2
18	libro bagnato	1	5	5
19	libro consumato	5	5	1
20	libro informatico	2	2	2
21	libro scientifico	5	4	5
22	libro stampato	5	5	4
23	libro tecnico	4	2	3
24	rivista bagnata	4	4	4
25	rivista consumata	2	5	2
26	rivista informatica	1	2	5
27	rivista scientifica	4	4	4
28	rivista stampata	5	3	3
29	rivista tecnica	2	4	2
